Thread_ID,Block_ID,Thickness,Density,R,G,B
30,32,163.0,1.0061349693251531,52.24314024390244,67.26814024390244,189.4388719512195
31,33,163.0,1.0061349693251531,51.91661585365853,67.35365853658537,188.50838414634143
32,34,163.0,1.0061349693251531,50.36646341463415,65.16265243902438,182.3657012195122
33,35,163.0,1.0061349693251531,49.676067073170735,64.08216463414634,180.12240853658537
34,36,163.0,1.0061349693251531,51.12149390243903,65.27942073170732,184.8330792682927
35,37,163.0,1.0061349693251531,53.0577743902439,68.31890243902438,191.99512195121952
36,38,163.0,1.0061349693251531,53.8765243902439,69.58704268292684,195.0137195121951
37,39,163.0,1.0061349693251531,54.12743902439024,69.69878048780488,195.58353658536583
38,40,163.0,1.0061349693251531,55.43506097560976,71.54268292682927,200.46753048780488
39,41,163.0,1.0061349693251531,56.95076219512195,73.05182926829268,205.1092987804878
40,42,163.0,1.0061349693251531,57.989939024390246,74.07057926829269,208.68551829268293
41,43,163.0,1.0061349693251531,59.81646341463415,76.13064024390243,214.84756097560967
42,44,163.0,1.0061349693251531,60.25914634146341,76.87362804878049,216.47682926829268
43,45,163.0,1.0061349693251531,61.76265243902439,77.32789634146341,220.46615853658537
44,46,163.0,1.0061349693251531,62.74161585365854,78.70396341463415,223.1185975609756
45,47,163.0,1.0061349693251531,64.2047256097561,81.32896341463415,227.18003048780488
46,48,163.0,1.0061349693251531,64.36692073170731,81.39390243902439,227.6157012195122
47,49,163.0,1.0061349693251531,65.42591463414634,82.3704268292683,229.45762195121952
48,50,163.0,1.0061349693251531,65.71661585365854,82.27057926829268,230.6295731707317
49,51,163.0,1.0061349693251531,65.83246951219512,81.97256097560975,230.0641768292683
50,52,163.0,1.0061349693251531,65.90381097560976,82.7875,232.00625
52,3,163.0,1.0061349693251531,52.61783536585366,67.91692073170732,191.19481707317075
53,4,163.0,1.0061349693251531,54.5922256097561,70.44939024390244,198.4234756097561
54,5,163.0,1.0061349693251531,55.990548780487806,71.62240853658537,202.5935975609756
55,6,163.0,1.0061349693251531,57.81692073170732,73.97317073170731,208.42057926829267
56,7,163.0,1.0061349693251531,58.77317073170732,75.26631097560976,212.24588414634147
57,8,163.0,1.0061349693251531,61.05198170731708,77.87515243902439,218.4230182926829
58,9,163.0,1.0061349693251531,62.02789634146342,78.74771341463415,220.6998475609756
59,10,163.0,1.0061349693251531,62.85198170731707,79.8859756097561,222.9120426829268
60,11,163.0,1.0061349693251531,63.54009146341463,81.69039634146341,224.21463414634147
61,12,163.0,1.0061349693251531,64.0548780487805,82.47789634146342,225.1486280487805
62,13,163.0,1.0061349693251531,64.87118902439025,83.39939024390245,228.11204268292684
63,14,163.0,1.0061349693251531,65.10457317073171,83.97926829268293,227.7978658536585
64,15,163.0,1.0061349693251531,65.33445121951219,84.96493902439025,228.5684451219512
65,16,163.0,1.0061349693251531,65.86280487804878,85.64801829268292,230.11006097560977
66,17,163.0,1.0061349693251531,65.05274390243902,83.99832317073171,228.22149390243905
67,18,163.0,1.0061349693251531,63.95990853658537,82.59710365853658,223.91356707317075
68,19,163.0,1.0061349693251531,64.91631097560976,84.27942073170732,226.4795731707317
69,20,163.0,1.0061349693251531,65.70426829268293,84.55899390243903,229.53048780487805
70,21,163.0,1.0061349693251531,64.93399390243903,83.76112804878049,228.36524390243903
71,22,163.0,1.0061349693251531,64.66814024390244,83.1608231707317,227.1346036585365
72,23,163.0,1.0061349693251531,64.28567073170731,82.64253048780488,227.05884146341464
73,24,163.0,1.0061349693251531,64.37301829268293,83.6295731707317,227.43948170731707
74,25,163.0,1.0061349693251531,63.14725609756098,81.08689024390245,224.1865853658537
75,26,163.0,1.0061349693251531,62.4,80.27164634146341,223.18048780487808
76,27,163.0,1.0061349693251531,61.47408536585366,79.4858231707317,221.1591463414634
77,28,163.0,1.0061349693251531,61.14771341463415,79.06112804878049,220.32408536585365
